training
lr, dw 0.0001 1e-08
test tensor(0.1455, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1427, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1387, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1309, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1224, grad_fn=<MeanBackward0>) dev tensor(0.0004, grad_fn=<SelectBackward>)
test tensor(0.1192, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1129, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1076, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.1016, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0946, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0866, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0801, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0761, grad_fn=<MeanBackward0>) dev tensor(8.5139e-05, grad_fn=<SelectBackward>)
test tensor(0.0707, grad_fn=<MeanBackward0>) dev tensor(8.2942e-05, grad_fn=<SelectBackward>)
test tensor(0.0642, grad_fn=<MeanBackward0>) dev tensor(9.3731e-05, grad_fn=<SelectBackward>)
test tensor(0.0594, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0552, grad_fn=<MeanBackward0>) dev tensor(9.5287e-05, grad_fn=<SelectBackward>)
test tensor(0.0517, grad_fn=<MeanBackward0>) dev tensor(9.7139e-05, grad_fn=<SelectBackward>)
test tensor(0.0478, grad_fn=<MeanBackward0>) dev tensor(8.0844e-05, grad_fn=<SelectBackward>)
test tensor(0.0437, grad_fn=<MeanBackward0>) dev tensor(8.6677e-05, grad_fn=<SelectBackward>)
test tensor(0.0401, grad_fn=<MeanBackward0>) dev tensor(9.1175e-05, grad_fn=<SelectBackward>)
test tensor(0.0365, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0328, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0309, grad_fn=<MeanBackward0>) dev tensor(5.1616e-05, grad_fn=<SelectBackward>)
test tensor(0.0277, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0255, grad_fn=<MeanBackward0>) dev tensor(6.7533e-05, grad_fn=<SelectBackward>)
test tensor(0.0232, grad_fn=<MeanBackward0>) dev tensor(5.4927e-05, grad_fn=<SelectBackward>)
test tensor(0.0210, grad_fn=<MeanBackward0>) dev tensor(5.8981e-05, grad_fn=<SelectBackward>)
test tensor(0.0193, grad_fn=<MeanBackward0>) dev tensor(3.2597e-05, grad_fn=<SelectBackward>)
test tensor(0.0176, grad_fn=<MeanBackward0>) dev tensor(3.1322e-05, grad_fn=<SelectBackward>)
test tensor(0.0167, grad_fn=<MeanBackward0>) dev tensor(3.5682e-05, grad_fn=<SelectBackward>)
test tensor(0.0149, grad_fn=<MeanBackward0>) dev tensor(3.4278e-05, grad_fn=<SelectBackward>)
test tensor(0.0133, grad_fn=<MeanBackward0>) dev tensor(9.3225e-05, grad_fn=<SelectBackward>)
test tensor(0.0122, grad_fn=<MeanBackward0>) dev tensor(2.6488e-05, grad_fn=<SelectBackward>)
test tensor(0.0113, grad_fn=<MeanBackward0>) dev tensor(5.7620e-05, grad_fn=<SelectBackward>)
test tensor(0.0096, grad_fn=<MeanBackward0>) dev tensor(2.6348e-05, grad_fn=<SelectBackward>)
test tensor(0.0085, grad_fn=<MeanBackward0>) dev tensor(5.1397e-05, grad_fn=<SelectBackward>)
test tensor(0.0079, grad_fn=<MeanBackward0>) dev tensor(5.5972e-05, grad_fn=<SelectBackward>)
test tensor(0.0071, grad_fn=<MeanBackward0>) dev tensor(5.0153e-05, grad_fn=<SelectBackward>)
test tensor(0.0061, grad_fn=<MeanBackward0>) dev tensor(8.9485e-05, grad_fn=<SelectBackward>)
test tensor(0.0056, grad_fn=<MeanBackward0>) dev tensor(5.8627e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-08
test tensor(0.1473, grad_fn=<MeanBackward0>) dev tensor(0.0005, grad_fn=<SelectBackward>)
test tensor(0.1472, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1441, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1372, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1320, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1298, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1197, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1202, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1149, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1078, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1035, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0992, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0961, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0904, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0851, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0830, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0801, grad_fn=<MeanBackward0>) dev tensor(8.0140e-05, grad_fn=<SelectBackward>)
test tensor(0.0730, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0696, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0661, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0631, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0586, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-08
test tensor(0.0944, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0873, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0832, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0734, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0715, grad_fn=<MeanBackward0>) dev tensor(8.8299e-05, grad_fn=<SelectBackward>)
test tensor(0.0618, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0581, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0527, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0498, grad_fn=<MeanBackward0>) dev tensor(6.9732e-05, grad_fn=<SelectBackward>)
test tensor(0.0460, grad_fn=<MeanBackward0>) dev tensor(6.1958e-05, grad_fn=<SelectBackward>)
test tensor(0.0386, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0349, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0328, grad_fn=<MeanBackward0>) dev tensor(7.2570e-05, grad_fn=<SelectBackward>)
test tensor(0.0301, grad_fn=<MeanBackward0>) dev tensor(4.7222e-05, grad_fn=<SelectBackward>)
test tensor(0.0253, grad_fn=<MeanBackward0>) dev tensor(7.3944e-05, grad_fn=<SelectBackward>)
test tensor(0.0221, grad_fn=<MeanBackward0>) dev tensor(6.1323e-05, grad_fn=<SelectBackward>)
test tensor(0.0196, grad_fn=<MeanBackward0>) dev tensor(5.0130e-05, grad_fn=<SelectBackward>)
test tensor(0.0163, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0145, grad_fn=<MeanBackward0>) dev tensor(5.6793e-05, grad_fn=<SelectBackward>)
lr, dw 0.0001 1e-08
test tensor(0.1061, grad_fn=<MeanBackward0>) dev tensor(0.0006, grad_fn=<SelectBackward>)
test tensor(0.1100, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1065, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.1064, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.1028, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0998, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0955, grad_fn=<MeanBackward0>) dev tensor(0.0003, grad_fn=<SelectBackward>)
test tensor(0.0928, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0917, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0872, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0868, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0793, grad_fn=<MeanBackward0>) dev tensor(0.0002, grad_fn=<SelectBackward>)
test tensor(0.0780, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
test tensor(0.0743, grad_fn=<MeanBackward0>) dev tensor(0.0001, grad_fn=<SelectBackward>)
